frequency,magnitude
25.0,16.28820173669403
75.0,51.72319697194416
125.0,98.0834338264127
175.0,78.68705076813953
225.0,50.21027028615319
275.0,35.82972871321409
325.0,27.88842273597857
375.0,26.15281011332742
425.0,21.289866694375874
475.0,22.564525691832074
525.0,20.668407735327783
575.0,14.57828632097402
625.0,10.89171758030544
675.0,9.227115798397419
725.0,8.72889887765011
775.0,8.637232911377472
825.0,8.554133480612347
875.0,8.699563827927838
925.0,11.181500479685468
975.0,19.90146502942845
1025.0,22.945339774999248
1075.0,11.413753471412472
1125.0,8.183356232472377
1175.0,6.366549618821169
1225.0,4.856884395280529
1275.0,4.989487072371386
1325.0,6.186292605325502
1375.0,6.262007709888305
1425.0,4.328983680575396
1475.0,4.344147744135974
1525.0,3.9573769155531493
1575.0,3.9250894228684112
1625.0,4.012037001159703
1675.0,3.813630150044248
1725.0,3.819946102839547
1775.0,3.6590201047872135
1825.0,3.6001284776504514
1875.0,3.6098261497920685
1925.0,3.724563557481475
1975.0,3.7986576057870693
2025.0,4.187217643686669
2075.0,5.4924881013088935
2125.0,6.088672394468598
2175.0,5.534548079836298
2225.0,4.3724954270347505
2275.0,3.853021566297828
2325.0,3.524974917155437
2375.0,3.52480760185813
2425.0,3.6534990057046386
2475.0,3.6016112708169157
2525.0,3.5327310836450527
2575.0,3.472127259310583
2625.0,3.7602575203567374
2675.0,3.618656644796866
2725.0,3.5155282265621457
2775.0,3.283785025036293
2825.0,3.2646087809299273
2875.0,3.2155760660258492
2925.0,3.19821006675629
2975.0,3.2158357801462945
3025.0,3.1618435080261467
3075.0,3.1541203750434867
3125.0,3.150357596304905
3175.0,3.218597023501847
3225.0,3.183344756527004
3275.0,3.131402579093892
3325.0,3.118501804090402
3375.0,3.2624649870623808
3425.0,3.190076353324984
3475.0,3.2344570100407712
3525.0,3.2852792188643605
3575.0,3.2600373516403796
3625.0,3.1608072910882936
3675.0,3.127555001999868
3725.0,3.165476224548837
3775.0,3.1156953913888477
3825.0,3.1701164569071962
3875.0,3.1522918293768947
3925.0,3.2059820083507216
3975.0,3.197179114437978
4025.0,3.1866613733679943
4075.0,3.151520343722746
4125.0,3.2013878315136277
4175.0,3.1865316498863034
4225.0,3.1931461582540037
4275.0,3.188778202731761
4325.0,3.217877006692224
4375.0,3.20007930032895
4425.0,3.187405912134241
4475.0,3.202169532791319
4525.0,3.1536743210673435
4575.0,3.232549137697445
4625.0,3.2577806222469214
4675.0,3.2171828916651597
4725.0,3.222538714955993
4775.0,3.2098249167815047
4825.0,3.2261834888176764
4875.0,3.2336968352717377
4925.0,3.307801415319341
4975.0,3.284812347253899
5025.0,3.28092175702713
5075.0,3.3242495740540656
5125.0,3.2913939802792953
5175.0,3.2970682143748595
5225.0,3.304640848471726
5275.0,3.2776396796227374
5325.0,3.325997587408761
5375.0,3.286511543354879
5425.0,3.2871525517891214
5475.0,3.272531955913918
5525.0,3.239435675083188
5575.0,3.3111989446017582
5625.0,3.256323092796757
5675.0,3.3098629915076394
5725.0,3.313901588967205
5775.0,3.338567251259791
5825.0,3.3104086795327374
5875.0,3.3293602090427044
5925.0,3.3272538276172554
5975.0,3.334400538338986
6025.0,3.3337110037692352
6075.0,3.3486005450041745
6125.0,3.375600653429778
6175.0,3.36442555682929
6225.0,3.391204613269994
6275.0,3.3526163252606627
6325.0,3.352092241900598
6375.0,3.393487405965109
6425.0,3.394906388402261
6475.0,3.41420885957303
6525.0,3.3962753382149895
6575.0,3.4024893671129384
6625.0,3.417557465562964
6675.0,6.249589951710406
6725.0,3.454537347788734
6775.0,3.402438597172515
6825.0,3.4181256504864024
6875.0,3.4457569276682785
6925.0,3.4352616636201714
6975.0,3.436978493187736
7025.0,3.4044122635189327
7075.0,3.4593654529815003
7125.0,3.452216606996693
7175.0,3.434771292685161
7225.0,3.438412155907132
7275.0,3.4854759299310234
7325.0,3.5044138084755208
7375.0,3.51353594873459
7425.0,3.5025405475378
7475.0,3.4986148726831434
7525.0,3.495552040747847
7575.0,3.5172320213645345
7625.0,3.4945182243133175
7675.0,3.495470303793645
7725.0,3.5246276380062223
7775.0,3.557682482337173
7825.0,3.4877808825308123
7875.0,3.5195712955453047
7925.0,3.51874963979353
7975.0,3.5748530454851886
8025.0,3.5451669313896685
8075.0,3.56812578384093
8125.0,3.8175027655125273
8175.0,3.6400160997459374
8225.0,3.5456708099511647
8275.0,3.632650171120263
8325.0,3.5959035447344
8375.0,3.594892017761415
8425.0,3.6286746786668975
8475.0,3.6389383918662705
8525.0,3.633607562459611
8575.0,3.5971114100522392
8625.0,3.666677279156691
8675.0,3.629641667265499
8725.0,3.6527715739402167
8775.0,3.688902075752553
8825.0,3.6744935254367954
8875.0,3.704942196057239
8925.0,3.674047217608762
8975.0,3.627324026874618
9025.0,3.717239544212146
9075.0,3.7081396185388247
9125.0,3.6981866711946143
9175.0,3.7293398911270907
9225.0,3.681004249715377
9275.0,3.777877778533033
9325.0,3.7273994366807504
9375.0,3.7758969802571354
9425.0,3.7127434397569967
9475.0,3.7111965105437434
9525.0,3.7517745126591895
9575.0,3.769572237476278
9625.0,3.7686484397319355
9675.0,3.7736584189983184
9725.0,3.834470977529646
9775.0,3.80256516951704
9825.0,3.7903912876962824
9875.0,3.7659348015935716
9925.0,3.8957263808319524
9975.0,3.861561103904318
10025.0,3.7836428092496863
10075.0,3.9265807757381506
10125.0,3.907932573645353
10175.0,3.8361223967697686
10225.0,3.906905676314076
10275.0,3.8876628740215726
10325.0,3.914346971024645
10375.0,3.8958654886836905
10425.0,3.8604567483856407
10475.0,3.8751178289855925
10525.0,3.9472742514655668
10575.0,3.9344378548502066
10625.0,3.9034700324337948
10675.0,3.9109738762951602
10725.0,3.957952013082389
10775.0,3.8852362810133227
10825.0,3.9783612196826077
10875.0,3.977738636341654
10925.0,4.004925673298234
10975.0,3.9212589940645586
11025.0,4.056629951866647
11075.0,4.017585122198932
